Qty, PROD_ID, Names, Value, Package
1, CAP-00810, C1, 0.1uF, 0603
1, CAP-11015, C2, 10uF, 0603
1, DIO-00819, D1, RED, LED-0603
2, CONN-13694, J1; J2, Qwiic, JST04_1MM_RA
2, RES-08272, R1; R2, 2.2k, 0603
1, RES-07856, R3, 1k, 0603
1, RES-00824, R4, 10k, 0603
1, IC-16314, U1, MMC5893MA_QFN16, LGA-16-3X3MM-4X4PINS
